Author_Name
"AARON, HENRY, 1934- ."
"DICKMAN, BYRON A., 1916-2005"
"DICKSON, THOMAS INCHES, JR., 1923-1999"
"DINOFF, MICHAEL, 1933-1982"
"DiORIO, DOROTHY MAY, 1932-"
"DIXON, FRANK MURRAY, 1892-1965"
"DOBBINS, AUSTIN CHARLES, 1919-2006"
"DOBBINS, GAINES STANLEY, 1886-1978."
"DOBYNS, WILLIAM RAY, 1861-1932"
"DODD, DONALD BRADFORD, 1940-"
"DODD, WYNELLE S., 1922-1994"
"DOOLEY, VINCENT JOSEPH, 1932-"
"DORMAN, LEWY, 1887-1965"
"DOSS, HARRIET E. AMOS, 1950-"
"DOSTER, JAMES FLETCHER, 1912-2016"
"DOUGLAS, JAMES McM.  (Pseudonym)"
"DOUGLASS, HIRAM KENNEDY, 1893-1975"
"DOUGLASS, MARGARET SIZEMORE"
"DOWELL, SPRIGHT, 1878-1963"
"DOWLING, HERNDON GLENN, 1921-2015"
"DOWNS, MATTHEW L., 1980-"
"DOZIER, ORION THEOPHILUS, 1848-1925"
"DRAUGHON, RALPH BROWN, 1899-1968"
"DUBOIS, ALAN (Pseudonym)"
"DUBOIS, ROCHELLE LYNN HOLT, 1946-"
"DuBOSE, HORACE MELLARD, 1858-1941"
"DuBOSE, JOEL CAMPBELL, 1855-1917"
"DuBOSE, JOHN WITHERSPOON, 1836-1918"
"DUFFEE, MARY GORDON, 1844-1930"
"DUGGAR, BENJAMIN MINGE, 1872-1956"
"DUGGAR, JOHN FREDERICK, 1868-1945"
"DUNAGAN, TED, 1943-"
"DUNCAN, BENJAMIN DILLARD, 1927-"
"DUNCAN, JULIA COLEY, 1916-2000"
"DUNCAN, KATHERINE McKINSTRY, 1904-1991"
"DUNCAN, LUTHER NOBLE, 1875-1947"
"DUNCAN, R. SCOT, 1969- ."
"DUNCAN, WINIFRED"
"DUNN, FLOYD R., 1906-1994"
"DUNNAVANT, KEITH, 1964 –"
"DUNNAVANT, ROBERT VERNON “Bob”, JR., 1947-1995"
"DUPREE, MARY HELEN, 1974-"
"DURHAM, FRANCES GILDART RUFFIN, 1889-1972"
"DURR, VIRGINIA HEARD FOSTER, 1903-1999"
"DYER, JOHN PERCY, 1902-1975"
"EARLY, HANK"
"EARLY, LOUISE HAYES, 1920-2004"
"EASBY-SMITH, JAMES STANISLAUS, 1870-1948"
"EAVES, RICHARD GLEN, 1932-2016"
"ECHOLS, JENNIFER, 1966-"
"EDINGTON, ANDREW, 1914-1998"
"EDMONDS, HENRY MORRIS, 1878-1960"
"EDWARDS, CHRISTINE WILLIAMS, 1914-1977"
"EDWARDS, GWEN ANDERS, 1926-"
"EDWARDS, WILLIAM JAMES, 1869-1950"
"ELAM, VERRELL DONALD, 1928-2004"
"ELLIOTT, CARL ATWOOD, 1913-1999."
"ELLIOTT, IDA WALLIS, 1867-1961"
"ELLIOTT, JAMES WALTER, 1927-1992"
"ELLIOTT, WILLIAM YOUNG, SR., 1902-1997"
"ELLIS, HELEN"
"ELLIS, NORMAN RICHARD, 1924-2018"
"ELLISON, RHODA COLEMAN, 1904-2005"
"ELOVITZ, MARK HARVEY, 1938-"
"EMERSON, O. B., 1921-1990."
"EMMET, RICHARD PERRINO, 1929-2011"
"ENGSTFELD, CAROLINE PROWELL, 1880-1949"
"ERICKSON, BEN, 1952-"
"ERNST, MORRIS LEOPOLD, 1888-1976"
"ERVIN, VIOLET GROSS, 1895-1991"
"EVANS, ZELIA STEPHENS, 1908-1995"
"EVERETT, DONALD EDWARD, 1920-2004"
"EVERSOLE, FINLEY TRAWEEK, 1935-"
"FANN, WILLIAM EDWIN, 1930-"
"FARISH, HUNTER DICKINSON, 1897-1945"
"FARMER, HALLIE, 1891-1960"
"FARMER, MARGARET PACE, 1912-2007"
"FARNELL, VIRGINIA FERGUSON, 1920-2008"
"FARRAH, ALBERT JOHN, 1863-1944"
"FARRAR, LARSTON DAWN, 1915-1970"
"FEIDELSON, CHARLES N., 1886-1967"
"FELDMAN, GLENN, 1962-2015"
"FELGAR, ROBERT, III, 1944-"
"FELKENES, GEORGE THEODORE, 1930-2016"
"FELLOWS, ALICE, 1928-2016"
"FENDLEY, ERIN LIVINGSTON, 1904-1987"
"FENOLLOSA, MARY McNEIL, 1865-1954"
"FERRELL, CHILES CLIFTON, 1865-1915"
"FIDLER, WILLIAM PERRY, 1906-"
"FIELDS, JULIA, 1938-"
"FIES, MILTON HENRY, 1882-1970"
"FIES, ROSE MAYER, 1881-1971"
"FIGH, MARGARET GILLIS, 1896-1984"
"FINN, SIDNEY BERNARD, 1908-1979"
"FINNELL, WOOLSEY, 1866-1955"
"FITZGERALD, ARTHUR ERNEST, 1926-"
"FITZGERALD, ZELDA SAYRE, 1900-1948"
"FITZPATRICK, PHILIP MATTHEW, 1915-2004"
"FLAGG, FANNIE, 1941-"
"FLEMING, WALTER LYNWOOD, 1874-1932"
"FLOYD, DENNIS STEWART, 1925-2001"
"FLOYD, JOHN ALEX, JR., 1948-"
"FLYNT, JAMES WAYNE, 1940-"
"FOLEY, ALBERT SIDNEY, 1912-1990"
"FOLKERTS, GEORGE WILLIAM, 1938-2007"
"FOOTE, GASTON, 1902-1989"
"FORD, JESSE HILL, JR., 1928-1996"
"FORD, TOMMY, 1955-"
"FOREMAN, MARY DOUGLAS FUNDABURK, 1925-"
"FORMICHELLA, JOE, 1955-"
"FORNEY, KATHERINE ELIZA, 1902-1991"
"FORT, WILLIAM EDWARDS, JR., 1905-1988"
"FOSCUE, VIRGINIA ODEN, 1933-2002"
"FOSHEE, JOHN HUGH, 1931-2003"
"FOSTER, AGNESS GREENE, 1863-1933"
"FOSTER, CHARLES WILLIAM, 1939-2012"
"FOSTER, HENRY BACON, 1863-1939"
"FOSTER, LOVELACE SAVIDGE, 1847-1913"
"FOSTER, PATRICIA, 1948-"
"FOX, DOROTHEA WARREN, 1914-1999"
"FRANCIS, HERBERT EDWARD, JR., 1924-"
"FRANKLIN, DENSON NAULS, 1914-2002"
"FRANKLIN, HAROLD LEROY, 1934-"
"FRANKLIN, TOM, 1963-"
"FRASIER, SCOTTIE McKENZIE, 1884-1964"
"FRAZER, JOHN WILLIAM, 1885-1969"
"FRAZER, MELL ALEXANDER, 1887-1956"
"FRAZER, NIMROD THOMPSON, 1929-"
"FRAZER, WILLIAM HENRY, 1873-1953"
"FRAZIER, GLENN DOWLING, 1923-"
"FREEMAN, RICHARD BORDEN, 1908-1986"
"FRENCH, ROBERT WARREN, 1911-1999"
FRIAR TUCK (Pseudonym)
"FRITH, GREG H., 1949-"
"FRY, ANNA MARIA GAYLE, 1852-1930"
"FRYE, RICHARD NELSON, 1920-2014"
"FRYE, ROLAND MUSHAT, 1921-2005"
"FRYE, WILLIAM FENNER, JR., 1908-1961"
"FULLER, HELEN, 1913-1972"
"FULMER, ROBERT MARION, 1939-"
"FULTS, JOHN LEE, 1932-"
"FUNDABURK, EMMA LILA, 1922-2006"
"FUTATO, EUGENE MADISON, 1949-"
"FUTRELL, ROBERT FRANK, 1917-1999"
"GAINES, CHARLES LATHAM, JR., 1943-"
"GAINES, MARION TOULMIN, 1869-1955"
"GAINES, PATRICIA ELLISOR"
"GAITHER, FRANCES ORMOND JONES, 1889-1955"
"GALLAGHER, BUELL GORDON, 1904-1978"
"GALLALEE, JOHN CAULKINS (JACK), 1918-1974"
"GALLANT, THOMAS GRADY, 1920-2009."
"GALLAWAY, MARIAN, 1903-1980"
"GAMBEL, JOHNNIE GENEVA RODEN DOLE, 1925-2017"
"GAMBLE, ROBERT S., 1943-"
"GANDRUD, PAULINE JONES, 1904-1980."
"GANEY, JOSEPH SAMUEL, 1880-1965"
"GANN, JOSHUA ARTHUR, 1895-1972"
"GARBER, EUGENE KEENAN, 1932-"
"GARBER, JAMES R.,1889-1978"
"GARNER, SAMUEL PAUL, 1910-1996"
"GARRARD, JEANNE, 1923-1993"
"GARRETT, ALLEN McCAIN, 1924-2008"
"GARRETT, MITCHELL BENNETT, 1881-1959"
"GASSMAN, OLA McDILL McCOWN, 1914-1971"
"GASTON, ARTHUR GEORGE, 1892-1996"
"GATCHELL, DANA KING, 1888-1960"
"GAY, WILLIAM TEAGUE, 1899-1981"
"GAYLE, WILLIAM ARMISTEAD, JR., 1896-1965"
"GENTRY, DOROTHY DEAN FREE, 1921-2012"
"GEORGE, ANNE CARROLL, 1927-2001"
"GERBER, ISRAEL JOSHUA, 1918-2011"
"GHIGNA, CHARLES, 1946-"
"GIBBONS, FAYE, 1938-"
"GIBBONS, J. WHITFIELD “WHIT,” 1939-"
"GIBBONS, ROBERT FAUCETT, 1915-1995"
"GIBSON, JOHN MENDINGHALL, 1899-1966"
"GIELOW, MARTHA SAWYER, 1860-1933"
"GILDART, FRAUNCES (Pseudonym)"
"GILMORE, EDDY LANIER KING, 1907-1967"
"GILMORE, J. HERBERT, JR., 1925-1995"
"GLASS, MARY MORGAN WARD, 1898-1993"
"GLAZE, ANDREW, III, 1920-2016"
"GLAZNER, JOHN FRANK, 1884-1960"
"GLENDINNING, SARA WILSON (SALLY), 1913-1993."
"GLENN, MOSES L., 1927-1983"
"GLOVER, CATO DOUGLAS, 1897-1988."
"GLYNN, ROBERT L., 1913-1983"
"GODDARD, NETTYE GEORGE KENT, 1923-2010"
"GODFREY, MARIE HAM, 1920-1983"
"GODWIN, GAIL, 1937-"
"GOING, ALLEN JOHNSTON, 1917- 2000"
"GOING, WILLIAM THORNBURY, 1915-2008"
"GOODRUM, JOHN C., 1918-2004"
"GOODWIN, STEPHEN, 1943-"
"GORGAS, WILLIAM CRAWFORD, 1854-1920"
"GORMAN, ETHEL MILLER, 1911-2002"
"GOSSER, LEO, 1897-1987"
"GRAF, DOT (DOROTHY JANE) PADGETT, 1930-1985"
"GRAFTON, CARL, 1942-"
"GRANTHAM, DIXIE LOUISE, 1904-1993"
"GRAU, SHIRLEY ANN, 1929-"
"GRAVES, RICHARD LAYTON, 1931-"
"GRAY, DANIEL SAVAGE, 1944-1993"
"GRAY, LINDA CROCKETT, 1943-"
"GRAYSON, CLAUDE COLUMBUS, 1857-1948"
"GREEN, ASA NORMAN, 1929-2012"
"GREENE, DANIEL ARTHUR, 1863-1923"
"GREENE, FRANCES NIMMO, 1867-1937"
"GREENHAW, HAROLD WAYNE, 1940-2011"
"GREER, VIRGINIA BRADFORD, 1919-2008"
"GRIESSMAN, BENJAMIN EUGENE, 1934-"
"GRIFFIN, MARY CLAIRE, 1924-2008"
"GRIFFIN, W. E. B."
"GRIFFITH, GEORGE P.,  1902-1989"
"GRIFFITH, LUCILLE BLANCHE, 1905-1993"
"GRIMES, MARTIN, 1918-1974"
"GROOM, WINSTON, 1943-"
"GROSS, BEN SAMUEL, 1890-1979"
"GROSS, JIMMIE FRANK, 1936-"
"GUERARD, IONE CROWE, 1889-1985"
"GUFFIN, GILBERT LEE, 1906-1992"
"GUILLEBEAU, MICHAEL, 1951-"
"GUNDLACH, JAMES H., 1942-"
"GUTHRIE, McCOY, 1910-1995"
"GUZMAN, JESSIE PARKHURST, 1898-1996"
"GWALTNEY, LESLIE LEE, 1876-1955"
"HAAGEN, VICTOR B., 1928-2001"
"HAARDT, SARA POWELL, 1898-1935"
"HADDIN, THEODORE, 1933-"
"HAIGLER, EDWARD DAVID, JR., 1940-"
"HALBERT, HENRY SALE, 1837-1916"
"HALBROOKS, RUTH THOMAS, 1914-2004"
"HALE, PHILIP THOMAS, 1857-1926"
"HALL, EDWIN PRESLEY, 1902-2002"
"HALL, GROVER CLEVELAND, 1884-1941"
"HALL, GROVER CLEVELAND, JR., 1915-1971"
"HALL, JAMES HUGH BLAIR, 1855-1936"
"HALL, WADE HENRY, 1934-2015"
"HAMES, CARL MARTIN, 1938-2002"
"HAMILL, HOWARD MELANCTHON, 1849-1915"
"HAMILTON, BETSY (Pseudonym)"
"HAMILTON, PETER JOSEPH, 1859-1927"
"HAMILTON, VIRGINIA VAN DER VEER, 1921-2016"
"HAMMOND, GUYTON BOWERS, 1930-2016"
"HAMMOND, RALPH CHARLES, 1916-2010"
"HANDY, WILLIAM CHRISTOPHER, 1873-1958"
"HANLIN, KATHERINE HALE, 1907-1978"
"HANNAH, BARRY, 1942-2010"
"HANNON, JOHN, 1845-1921"
"HANSEN, JAMES R., 1952-"
"HARDING, WILLIAM PROCTOR GOULD, 1864-1930"
"HARE, FRANCIS HUTCHESON, 1904-1983"
"HARPER, ROLAND McMILLAN, 1878-1966"
"HARRELL, DAVID EDWIN, JR., 1930-"
"HARRINGTON, BOB, 1927-2017"
"HARRINGTON, JANICE N."
"HARRIS, GARRARD, 1876-1927"
"HARRIS, JULIA MAY, 1891-1979"
"HARRIS, MARY IMOGENE, 1926-1981"
"HARRIS, MAY, 1873-1965"
"HARRIS, SEALE, 1870-1957"
"HARRIS, TRUDIER, 1948-"
"HARRIS, WILLIAM STUART, 1933-2017"
"HARRISON, BELLE RICHARDSON, 1856-1940"
"HARRISON, E. BRUCE, 1932-"
"HARRISON, JOANN, 1929-2015"
"HARRISON, KARL C., 1907-1997"
"HARTLINE, DAVID L., 1946-"
"HARZEM, PETER, 1930-2008"
"HASFORD, GUSTAV (JERRY), 1947-1993"
"HASKINS, JAMES, 1941-2005"
"HASSELL, HARRIET, 1911-1970"
"HASSINGER, BERNICE SHIELD, 1915-2004"
"HAVILAN, AMORIE (Pseudonym)"
"HAWIE, ASHAD GHGHE, 1891-1962"
"HAWLEY, LANGSTON THACKER, 1909-1993"
"HAY, SARA HENDERSON, 1906-1987"
"HAYES, JOSEPH CLAUDE, 1904-1982"
"HAYNES, ELIZABETH ANN ROSS, 1883-1953"
"HEARD, GEORGE ALEXANDER, 1917-2009"
"HEARIN, EMILY STAPLES VAN ANTWERP, 1914-2005"
"HEARN, CHARLES AUBREY, 1907-1991"
"HEARNE, BETSY GOULD, 1942-"
"HEATH, WILLIAM LEDBETTER, 1924-2007"
"HEBERT, ROBERT FRANCIS, 1943-"
"HEBSON, ANN HELLEBUSCH, 1925-1988"
"HEFLIN, WOODFORD AGEE, 1903-1990"
"HELM, THOMAS WILLIAM, 1919-1993"
"HELMBOLD, F. WILBUR, 1917-1989"
"HELMS, RANDEL, 1942-"
"HEMPHILL, PAUL, 1936-2009"
"HENDERSON, ELBERT CALVIN, 1904-1974"
"HENDERSON, GEORGE WYLIE, 1904-1965"
"HENDERSON, JOHN STEELE, 1919-2007"
"HENLEY, JOHN CHARLES, JR., 1880-1949"
"HENLEY, WALLACE BOYNTON, 1941-"
"HENRY, WAIGHTS GIBBS, 1879-1960"
"HENRY, WAIGHTS GIBBS, JR., 1910-1989"
"HENSON, CURTIS TALMON, JR., 1931-"
"HENTZ, CAROLINE LEE WHITING, 1800-1856"
"HERBERT, HILARY ABNER, 1834-1919"
"HERPORT, SUSAN HALL, 1946-2007"
"HIBBEN, SHEILA, 1884-1964"
"HIGDON, BETTINA BLANCHE PEARSON, 1920-2008"
"HIGGINBOTHAM, MIRIAM, 1927-2004"
"HIGGINBOTHAM, PRIEUR JAY, JR., 1937-2017"
"HIGGINBOTHAM, RALPH D., 1916-2009."
"HIGGINS, ADDIE LEE, 1899-1995"
"HIGHSAW, ROBERT BAKER, 1917-2009"
"HILL, ELIZABETH CRAIG, 1915-1992"
"HILL, HARLON, 1932-2013"
"HILL, HENRIETTA FONTAINE McCORMICK, 1904-1986"
"HILL, HOWARD, 1899-1975"
"HILL, ISAAC WILLIAM, 1861-1945"
"HILL, ISAAC WILLIAM, JR., 1908-1993"
"HILL, ROBERT McCLELLAN, 1904-1989"
"HINDS, GLADYS, 1900-1982"
"HINDS, LEON TRICE, 1934-"
"HITCHCOCK, BERT (WILLIAM BERTRAM), 1941-"
"HITT, ANNIE EARLE LAND, 1910-2004"
"HOBBS, HERSCHEL HAROLD, 1907-1995"
"HOBBS, SAMUEL FRANCIS, 1887-1952"
"HOBSON, FRED COLBY, JR., 1943-"
"HOBSON, RICHMOND PEARSON, 1870-1937"
"HOBSON, RICHMOND PEARSON, JR., 1907-1966"
"HOFF, NELSON PRUYN, 1894-1966"
"HOFF, TIMOTHY, 1941-"
"HOFFMAN, ROY, 1953-"
"HOLCOMBE, RANDALL GREGORY, 1950-"
"HOLLADAY, SYLVIA AGNES, 1936-"
"HOLLARS, B. J., 1984-"
"HOLLEY, HOWARD LAMAR, 1914-1988"
"HOLLINGSWORTH, JAMES SELWYN, 1939-"
"HOLLIS, DANIEL WEBSTER, III, 1942-"
"HOLLOWAY, LUCY ARIEL WILLIAMS, 1905-1973"
"HOLMES, JACK DAVID LAZARUS, 1930-"
"HOLT, THAD, 1898-1984"
"HOLTZCLAW, WILLIAM HENRY, 1874-1943"
"HONOUR, FRANCES MARCHMAN, 1911-1997"
"HOOLE, WILLIAM STANLEY, 1903-1990"
"HOOPER, JOHNSON JONES, 1815-1862"
"HORN, ALFIE CASEY, 1912-2007"
"HORNADY, JOHN RANDOLPH, JR., 1872-1948"
"HORNE, HOWARD (Pseudonym)"
"HOUGHTON, MITCHELL BENNETT, 1844-1925"
"HOUGHTON, WILLIAM ROBERT, 1842-1906"
"HOUSTON, ROBERT, 1940-"
"HOWARD, ELIZABETH SIMMONS, 1926-"
"HOWARD, GENE L., 1940-"
"HOWARD, LINDA"
"HOWARD, MILFORD WRIARSON, 1862-1937"
"HOWARD, MILO BARRETT, JR., 1933-1981"
"HOWELL, ARTHUR HOLMES, 1872-1940"
"HOWELL, JOSEPH BENTON, 1949-"
"HOWINGTON, LINDA S., 1950-"
"HUBBARD, MIKE, 1962-"
"HUBBARD, PRESTON JOHN, 1918-2016"
"HUDDLESTON, GEORGE, 1869-1960"
"HUDGINS, ANDREW, 1951-"
"HUDSON, ADAMS FRAZER, 1958-"
"HUDSON, SUZANNE, 1953-"
"HUEY, MATTIE MARIE McADORY, 1876-1938"
"HUEY, THOMAS EDWARD, 1884-1958"
"HUGHES, EDEN, (Pseudonym)"
"HUIE, WILLIAM BRADFORD, 1910-1986"
"HUMPHRIES, JOHN JEFFERSON, 1955-2014"
"HUNNICUTT, JOHN LETCHER, 1850-1932"
"HUNT, ALMA FAY, 1909-2008"
"HUNT, MARY FASSETT, 1919-1992"
"HURSTON, ZORA NEALE, 1891-1960"
"HURT, MELISSA DEARING JACK, 1911-2003"
"HURTEL, CAROLINE GAILLARD, 1875-1965"
"IDE, KNOX, 1902-1994"
"IKENBERRY, ERNEST CROUSE,  1913-2007"
"INMAN, ROBERT FREDERICK, 1943-"
"IRWIN, J. DAVID, 1939-"
"JACK, THEODORE HENLEY, 1881-1964"
"JACKSON, ALTO LOFTIN, 1914-2011"
"JACKSON, CARLTON LUTHER, 1933-2014"
"JACKSON, DOROTHY LOUISA GREENLEE, 1911-1997"
"JACKSON, GEORGE PULLEN, 1874-1953"
"JACKSON, HARVEY HARDAWAY, III"
"JACKSON, JACQUELYNE MARY JOHNSON, 1932-2004"
"JACKSON, JOSEPH ABRAM, 1933-2011"
"JACKSON, RICHARD EUGENE, 1941-"
"JACKSON, SIDNEY WARREN, SR., 1901-1986"
"JACKSON, WALTER MAHAN, 1898-1956"
"JACOWAY, WILLIAM VAN, 1873-1967"
"JAMES, JOSEPHINE (Pseudonym)"
"JAMES, POWHATAN WRIGHT, 1880-1956"
"JAMES, ROBERT LESLIE, 1897-1977"
"JAYNES, BESSIE WEBB,  1899-1944"
"JEANE, D. GREGORY, 1945-"
"JEMISON, EDITH GRACE, 1884-1980"
"JENKINS, FERRELL, 1936-"
"JENKINS, FLORENCE SMITH, 1904-1998"
"JENKINS, IREDELL, 1909-1988"
"JENKINS, NELLIE MORRIS, 1894-1963"
"JENKINS, WILLIAM HARRISON, 1905-1981"
"JENSEN, MARY FASSETT"
"JERNIGAN, MARY (POLLY) SAMFORD, 1922-2014"
"JOHANSEN, MARGARET ALISON, 1896-1959"
"JOHNS, JOHN EDWIN, 1921-2007."
"JOHNSON, ANGELA, 1961-"
"JOHNSON, DAVID EDSEL, 1927-2008"
"JOHNSON, DOROTHY SCOTT, 1931-"
"JOHNSON, EUGENE HARPER, 1916-2016"
"JOHNSON, GOLDA WATSON, 1915-1999."
"JOHNSON, JAMES RALPH SCOTT, 1922-1997"
"JOHNSON, JAMES WILLIAM, 1927-"
"JOHNSON, JOHN BOWMAN, 1921-"
"JOHNSON, JOHNNY RAY, 1929-2015"
"JOHNSON, MARIETTA LOUISE PIERCE, 1864-1938"
"JOHNSON, MARY ELIZABETH, 1944-"
"JOHNSON, RHETA GRIMSLEY, 1953-"
"JOHNSON, ROBERT ERWIN, 1923-2008"
"JOHNSON, SAMUEL LAWRENCE, 1907-1978"
"JOHNSON, THOMAS EARLE, 1904-1996"
"JOHNSON, WINTHROP E."
"JOHNSTON, GEORGE BURKE, 1907-1995"
"JOHNSTON, HARDEE, 1873-1950"
"JOHNSTON, HENRY POELLNITZ, 1908-1985"
"JOHNSTON, HEWITT, 1874-1967"
"JOHNSTON, MARGUERITE SPRADLING, 1917-2005"
"JOHNSTON, MARY, 1870-1936"
"JOHNSTONE, KATHLEEN YERGER, 1906-1996"
"JOINER, HARRY MASON, 1944-"
"JONES, ABIGAIL ROBERTS, 1932-"
"JONES, ALLEN WOODROW, 1930-"
"JONES, BILL (WILLIAM GROVER, JR.), 1922-2015"
"JONES, CLEON JOSEPH, 1942-"
"JONES, EZRA EARL, 1939-"
"JONES, JOHN MAXWELL, JR., 1921-2000"
"JONES, MADISON PERCY, JR., 1925-2012."
"JONES, MARGARET JEAN, 1936-2009"
"JONES, MARY MARTIN, 1916-1983"
"JONES, MOLLIE HOLLIFIELD, 1884-1963"
"JONES, ROBERT (BOB) REYNOLDS, 1883-1968"
"JONES, RODNEY, 1950-"
"JONES, SAMUEL B., JR., 1933-2016"
"JONES, THOMAS G., 1874-1970"
"JONES, VIRGIL (PAT) CARRINGTON, 1906-1999."
"JONES, WALTER BURGWYN, 1888-1963"
"JONES, WILLIAM McKENDREY, 1927-2011"
"JONES, ZELON B., 1909-1986"
"JORDAN, WEYMOUTH TYREE, 1912-1968"
"JORDAN, WILLIAM CHRISTOPHER, 1834-1923"
"JULICH, DOROTHY LOUISE MILAM, 1912-2011."
"KAHN, LAWRENCE, 1921-"
"KALNOKY, INGEBORG LOUISE, 1909-1997"
"KANELOS, FRANK THEODORE, 1948-"
"KATZ, ELAINE SCHOENBERGER"
"KATZ, HAROLD K., 1909-2000"
"KAY, DONALD, 1939-"
"KEARLEY, FLOYD FURMAN, 1932-2003"
"KELLER, HELEN ADAMS, 1880-1968"
"KELLEY, WELBOURN, 1909-1991"
"KELLING, FURN L., 1914-2000"
"KELLY, MAUD McLURE, 1887-1973"
"KELLY, RILEY NICHOLAS, 1926-2014"
"KENNAMER, JOHN ROBERT, SR., 1873-1952"
"KENNAMER, LORRIN GARFIELD, 1897-1966"
"KENNAMER, SAMUEL REXFORD, 1920-2013"
"KENNEDY, JO MYRLE COLBURN, 1927-2009"
"KENNEDY, WALTER WALLACE, 1898-1978"
"KENNY, MICHAEL S., 1863-1946"
"KENT, DAVID (Pseudonym)"
"KERNODLE, GEORGE RILEY, 1907-1988"
"KHATRI, ABDULLAH AHMED, 1924-2009"
"KILPATRICK, CARROLL, 1913-1984"
"KILPATRICK, EMMETT, 1890-1968"
"KIMBALL, SOLON TOOTHAKER, 1909-1982"
"KIMBROUGH, WILLIAM EDWARD, 1918-1965"
"KING, CASSANDRA, 1944-"
"KING, CLINTON PATRICK, 1918-2007"
"KING, CORETTA SCOTT, 1927- 2006"
"KING, MARTIN LUTHER, JR., 1929-1968"
"KING, RICHARD G., 1922-"
"KING, SPENCER BIDWELL, 1904-1977"
"KIRBY, LELIAS EUGENE, 1895-1977"
"KIRBY, OTIS E., 1897-1989."
"KIRK, DOLLY WILLIAMS, 1862-1941"
"KIRK, MARY WALLACE, 1889-1978"
"KIRKLIN, JOHN WEBSTER, 1917-2004"
"KITCHENS, WILLIAM F., 1911-1996"
"KITTINGER, JO SUSENBACH, 1955-"
"KNAPP, WILLIAM JOSIAH, 1901-1992"
"KNIGHT, GEORGE W., 1940-"
"KNIGHT, MICHAEL, 1969-"
"KNIGHT, THOMAS M., 1943-2001"
"KNOX, DAVID H., JR., 1943-"
"KNOX, JOHN, 1905-1983"
"KNOX, ROSA BELLE, 1879-1974"
"KOCH, WALTER FERDINAND, 1922-1978"
"KOHN, JOHN PETER, JR., 1902-1993"
"KRACKE, ROY RACHFORD, 1897-1950"
"KRAUSE, RICHARD A., 1938-"
"KROLL, HARRY HARRISON, 1888-1967"
"KUYKENDALL, JOHN WELLS, 1938-"
"LACEY, ARCHIE LOUIS, 1923-1986"
"LADD, EDWARD JOHNSON, 1906-1978"
"LAKE, JEAN THOMPSON, 1929-1976"
"LAMAR, GAIL RENFROE, 1934-2008"
"LAMBERT,  ALTON, SR., 1910-1986"
"LAMONT, DOUGLAS FELIX, 1937-2006"
"LaMONTE, EDWARD SHANNON, 1943-"
"LANCASTER, DALLAS MURLE, 1918-1995"
"LANCASTER, EDWIN BRAGG, 1898-1981"
"LANCASTER, MARY HOLLAND, 1921-1994"
"LANG, GEORGE, 1879-1971"
"LANGFORD, GERALD, 1911-2003"
"LANGLEY, LEROY LESTER, 1916-2006"
"LARSON, JAMES EDWARD, 1916-2014"
"LATHAM, IRENE, 1971-"
"LAUBENTHAL, SANDERS ANNE, 1943-2002"
"LAVENDER, WILLIAM, 1921-"
"LAW, VIRGINIA, 1923-2004"
"LAWRENCE, ALFRED STRATTON, JR., 1910-1982"
"LAWSON, THOMAS REUBEN, 1908-1973"
"LAY, WILLIAM PATRICK, 1853-1940"
"LAZARUS, SIDNEY P., 1888-1933"
"LAZENBY, MARION ELIAS, 1885-1957"
"LEE, LAWRENCE HAYWOOD, 1867-1938"
"LEE, LAWRENCE HAYWOOD, JR., 1903-1978"
"LEE, MILDRED"
"LEE, NELLE HARPER, 1926-2016"
"LEE, S. C.  (Pseudonym)"
"LEE, STONEWALL CULPEPPER (Pseudonym)"
"LEEK, CHARLES FRANKLIN, 1892-1971"
"LEFTWICH, NINA, 1881-1968"
"LENNARD, WILLIAM CARVER, 1941-"
"LENTZ, PERRY CARLTON, 1943-"
"LES TINA, DOROTHY, 1917-2003"
"LESTER, ROBERT McDONALD, 1889-1969"
"LEWIS, JESSE J., 1925-"
"LEWIS, JOSEPH, 1899-1968"
"LEWIS, KATE PORTER, 1893-1993"
"LEWIS, WALTER DAVID, 1931-2007"
"LIDDELL, VIOLA GOODE, 1901-1998"
"LIDDON, ELOISE, 1897-1954"
"LIDE, ALICE ALISON, 1890-1955"
"LIDE, NEOMA JEWELL LAWHON, 1926-"
"LILES, JEAN CAROLE (Pseudonym)"
"LINCOLN, CHARLES ERIC, 1924-2000"
"LINCOLN, RIXFORD JOSEPH, 1872-1962"
"LINDSAY, MAUDE McKNIGHT, 1874-1941"
"LINDSEY, BOBBY L., 1929-1998"
"LINDSEY, HENRY CARLTON, 1918-"
"LINDSEY, JONATHAN ASMEL, 1937-2012"
"LINEBACK, NEAL GAMBILL, 1940-"
"LINN, MARJORIE LEES, 1930-1979"
LINY LU (Pseudonym)
"LINZEY, ALICIA VOGT, 1943-"
"LINZEY, DONALD WAYNE, 1939-"
"LITTLE, GEORGE, 1838-1924"
"LITTLE, JOHN BUCKNER, 1861-1918"
"LITTLE, ROBERT IRVING, 1881-1967"
"LITTLETON, GEORGE"
"LITTLETON, JESSE TALBOT, 1856-1929"
"LITTLETON, TAYLOR DOWE, 1930-"
"LITTRELL, ANITA IRWIN, 1912-1981"
"LIVINGSTON, ALFRED DELANO, 1932-2014"
"LLOYD, ANNIE CREIGHT"
"LLOYD, STEWART JOSEPH, 1881-1959"
"LLOYD,GARY"
"LOCKHART, MARGERY THOMPSON, 1909-1993"
"LODING, HENRY PEDER, 1869-1942"
